Article;Year;SampleSizeSchizo;SampleSizeContros;PitchMeanControls;PitchMeanControlsSD;PitchMeanSchizo;PitchMeanSchizoSD;PitchSDControls;PitchSDControlsSD;PitchSDSchizo;PitchSDSchizoSD
Alpert et al. 2000;2000;46;20;NA;NA;NA;NA;0.84;0.502;0.524347826;0.249608696
Alpert et al. 2002;2002;30;NA;NA;NA;NA;NA;NA;NA;0.5;0.28
Cohen et al. 2008;2008;60;19;NA;NA;NA;NA;21.56;6.78;17.64266667;7.277333333
Rapcan et al. 2010;2010;39;18;NA;NA;NA;NA;0.24;0.08;0.22;0.05
Cohen et al. 2011b;2011;89;26;56.92;7.89;58.87;7.7;NA;NA;NA;NA
Dickey et al. 2012;2012;28;27;NA;NA;NA;NA;80.45;43.75;61.05;43.7
Cohen et al. 2012;2012;26;NA;NA;NA;NA;NA;NA;NA;0.210909091;0.114545455
Bedwell et al. 2014;2014;44;NA;NA;NA;NA;NA;NA;NA;0.0315;0.0115
Cohen et al. 2014;2014;39;37;NA;NA;NA;NA;2.874332906;0.054738976;3.354640589;0.131689574
Martinez et al 2015;2015;45;35;156.57;43.89;143.02;40.33;29.67;8.32;27.5;10.36
Pinheir et al 2016;2016;17;18;137.2466667;29.98333333;148.0433333;23.89666667;NA;NA;NA;NA
Bernard et al. 2016;2016;20;NA;NA;NA;NA;NA;NA;NA;0.0875;0.0394
Bernard et al. 2017;2016;20;NA;NA;NA;NA;NA;NA;NA;0.0834;0.0242
Pinheiro et al. 2017;2017;15;16;136.3833333;30.44;148.0433333;27.59333333;NA;NA;NA;NA